review_observation_id,source_event_cluster_id,normalized_borrower,source_ticker,target_ticker,target_prior_identifier,target_prior_facility_type,target_prior_lien,target_prior_currency,target_prior_reference_rate,target_prior_spread,target_prior_maturity,target_prior_funded_status,target_prior_constituent_descriptions,target_prior_aggregation_lot_count,target_prior_evidence_id,target_current_identifier,target_current_facility_type,target_current_lien,target_current_currency,target_current_reference_rate,target_current_spread,target_current_maturity,target_current_funded_status,target_current_constituent_descriptions,target_current_aggregation_lot_count,target_current_evidence_id,target_current_same_facility,target_current_aggregation_valid,position_status,structural_notes
D4R_bcd7e11422b37f9973fb78ad,D4C_c5a67382e14f05e5e4985e28,bamboo us bidco,ARCC,OBDC,"Bamboo US BidCo LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0675,,funded,"[""Bamboo US BidCo LLC, First lien senior secured loan""]",1,EVID_61b66e246fb9017237342dfafa08,"Bamboo US BidCo LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0675,,funded,"[""Bamboo US BidCo LLC, First lien senior secured loan""]",1,D4SE_1bef3a7b1e0619dd8c7b7600,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.0675 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.0675, and lot count 1 are aligned."
D4R_c555b82e85acc84fe8831cda,D4C_c0f70d021fecb6ca1d12e263,realpage,ARCC,NMFC,"RealPage, Inc., Second lien",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""RealPage, Inc., Second lien""]",1,EVID_bc909802dee886fd581f008c847d,"RealPage, Inc., Second lien",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""RealPage, Inc., Second lien""]",1,D4SE_47288b67d5fd29f23e461f07,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, second_lien, other_debt type, 0.065 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. Prior and current wording is character-identical and the second-lien tranche label is an explicit discriminator. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien second_lien, funded status funded, spread 0.065, and lot count 1 are aligned."
D4R_c59e2fbd47dd9290110be570,D4C_4f57e27d18e7bde197fcd808,valcour packaging,NMFC,OBDC,"Valcour Packaging, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,"[""Valcour Packaging, LLC, First lien senior secured loan""]",1,EVID_22007383049a9cfb6819656ddbb4,,,,,,,,,[],,,uncertain,uncertain,unmatched_disappearance,"Reviewer D: No target-current identifier, facility type, lien, currency, reference rate, spread, maturity, funded status, constituent description or lot count is displayed. With no current structure there is nothing to compare against the prior funded first lien senior secured loan, so continuity cannot be distinguished from a different facility, and there is no aggregation to assess. The absence of any current candidate is itself clear from the packet, but no repayment, sale or refinancing evidence is displayed and principal is withheld, so the cause of the disappearance is not attributable. | Reviewer E: No current identifier, facility type, lien, currency, rate, spread, maturity, or funded status is displayed; constituents are [] and lot count is blank, so no exact current match is shown."
D4R_c5db0844b0670f466f90470e,D4C_1f87b99a69fce8374e786473,xplor t1,NMFC,OBDC,"XPLOR T1, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0425,,funded,"[""XPLOR T1, LLC, First lien senior secured loan""]",1,EVID_a3e85537b2db2d3f0ccebc093fda,"XPLOR T1, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0425,,funded,"[""XPLOR T1, LLC, First lien senior secured loan""]",1,D4SE_c5c59d2ab962678d1d4d5527,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.0425 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.0425, and lot count 1 are aligned."
D4R_c7a35a9d412cb38465fea24f,D4C_510f33a4eae2b40af398912b,pluralsight,ARCC,OCSL,"Pluralsight, LLC, First Lien Revolver",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First Lien Revolver""]",1,EVID_967127e21099a742474cd0ef1295,"Pluralsight, LLC, First Lien Revolver",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First Lien Revolver""]",1,D4SE_039cfd273cbb59f365545aa7,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, revolver facility type, 0.08 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. Both sides read 'First Lien Revolver' verbatim, which is an explicit tranche discriminator. | Reviewer E: Prior/current identifier and constituent description match; facility type revolver, lien first_lien, funded status funded, spread 0.08, and lot count 1 are aligned."
D4R_d23ddea383be2a00ce5ace83,D4C_fd2626873ba1814fc4688875,pluralsight,OCSL,ARCC,"Pluralsight, Inc., First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, Inc., First lien senior secured revolving loan""]",1,EVID_189f34b6ccc8596e0db78624919d,"Pluralsight, Inc., First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, Inc., First lien senior secured revolving loan""]",1,D4SE_e3bff94599056467b72cbeae,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, revolver facility type, 0.08 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. Prior and current both name the same 'Pluralsight, Inc.' entity form, so no entity-wording conflict arises within this row. | Reviewer E: Prior/current identifier and constituent description match; facility type revolver, lien first_lien, funded status funded, spread 0.08, and lot count 1 are aligned."
D4R_e38b31b606d83404d95f1d81,D4C_b87134d35399076a925362c5,athenahealth,NMFC,OBDC,"Athenahealth Group Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0325,,funded,"[""Athenahealth Group Inc., First lien senior secured loan""]",1,EVID_3d560171fe57367e599a47deeaaa,"Athenahealth Group Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0325,,funded,"[""Athenahealth Group Inc., First lien senior secured loan""]",1,D4SE_60ca98313cdc2f9f8dc44e10,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.0325 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.0325, and lot count 1 are aligned."
D4R_ed23c600624f149c46a880f7,D4C_55dfd2019040460395679faa,broadcast music,ARCC,OBDC,"Broadcast Music, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0575,,funded,"[""Broadcast Music, Inc., First lien senior secured loan""]",1,EVID_e01261d35f81b01aa344eea13be2,"Broadcast Music, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0575,,funded,"[""Broadcast Music, Inc., First lien senior secured loan""]",1,D4SE_d64991b13198e77680be44a4,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.0575 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.0575, and lot count 1 are aligned."
D4R_f9ee8a08a03864c69a263b5c,D4C_fd2626873ba1814fc4688875,pluralsight,OCSL,OBDC,"Pluralsight, LLC, First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First lien senior secured revolving loan""]",1,EVID_36e704ed10ce2dd61fc441c5a68b,"Pluralsight, LLC, First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First lien senior secured revolving loan""]",1,D4SE_6c7dfe225e46125bcee3ad85,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, revolver facility type, 0.08 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. Prior and current both name the same 'Pluralsight, LLC' entity form and revolving wording. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type revolver, lien first_lien, funded status funded, spread 0.08, and lot count 1 are aligned."
D4R_fc57517b64adfa4c18b260dd,D4C_94269c6f296bd2c364595c64,baker tilly advisory,NMFC,OBDC,"Baker Tilly Advisory Group, LP, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0475,,funded,"[""Baker Tilly Advisory Group, LP, First lien senior secured loan""]",1,EVID_09ce44340769a2625bac6a5b2dc5,"Baker Tilly Advisory Group, LP, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0475,,funded,"[""Baker Tilly Advisory Group, LP, First lien senior secured loan""]",1,D4SE_0d615a9c21e1ac16d8278455,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.0475 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.0475, and lot count 1 are aligned."
D4R_fc6618fb908c370b856b077e,D4C_71631df32270cbca236ef53d,pluralsight,ARCC,OBDC,"Pluralsight, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First lien senior secured loan""]",1,EVID_8e49519d8a6b5a08236c8f45f34e,"Pluralsight, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First lien senior secured loan""]",1,D4SE_ffbe6cf89e8cd54d4180d050,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.08 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. No revolving wording appears on either side, separating this row from the borrower's revolver rows. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.08, and lot count 1 are aligned."
